

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
4607.587  067.413  023.674: require('telescope.utils')
4607.594  137.728  024.899: require('telescope.sorters')
4609.083  286.045  026.356: require('telescope.config')
4651.496  021.897  021.897: require('plenary.window.border')
4670.595  019.096  019.096: require('plenary.window')
4690.096  019.497  019.497: require('plenary.popup.utils')
4690.101  081.013  020.523: require('plenary.popup')
4712.680  022.577  022.577: require('telescope.pickers.scroller')
4734.516  021.834  021.834: require('telescope.actions.state')
4757.059  022.540  022.540: require('telescope.actions.utils')
4803.358  023.593  023.593: require('telescope.actions.mt')
4803.379  046.317  022.724: require('telescope.actions.set')
4849.075  023.539  023.539: require('telescope.config.resolve')
4849.079  045.698  022.159: require('telescope.pickers.entry_display')
4871.216  022.136  022.136: require('telescope.from_entry')
4871.446  572.599  024.438: require('telescope.actions')
4952.579  022.109  022.109: require('telescope-live-grep-args.helpers')
4952.583  054.475  032.366: require('telescope-live-grep-args.actions.quote_prompt')
4952.584  081.136  026.661: require('telescope-live-grep-args.actions')
4953.222  000.636  000.636: require('user.telescope.user_themes')
4954.045  704.322  001.298: require('user.telescope')
4994.490  040.442  040.442: require('user.treesitter')
4995.811  000.973  000.973: require('Comment')
5016.603  010.223  010.223: require('lsp-inlayhints.config')
5036.325  009.880  009.880: require('lsp-inlayhints.utils')
5056.145  009.584  009.584: require('lsp-inlayhints.store')
5056.150  019.822  010.238: require('lsp-inlayhints.adapter')
5056.160  039.555  009.853: require('lsp-inlayhints.core')
5056.163  060.349  010.572: require('lsp-inlayhints')
5056.785  000.620  000.620: require('Comment.config')
5059.039  000.794  000.794: require('Comment.ft')
5059.045  001.604  000.810: require('Comment.utils')
5059.752  000.705  000.705: require('Comment.opfunc')
5060.383  000.629  000.629: require('Comment.extra')
5060.387  003.592  000.654: require('Comment.api')
5060.569  066.075  000.541: require('user.comment')
5078.788  009.085  009.085: require('gitsigns.async')
5087.757  008.966  008.966: require('gitsigns.config')
5096.458  008.698  008.698: require('gitsigns.debug.log')
